project,judge,rawScore,z,normalized,note
ForgeLLM,Jia Judge,90,0.31,53.11,
ForgeLLM,Marta Kovacs,83.75,0.88,58.78,
ShipFast CI,Jamal Reyes,55,0.28,52.79,
ShipFast CI,Marta Kovacs,67.5,-0.94,40.63,
DocDrift,Yuki Tanaka,97.5,1.78,67.82,
DocDrift,Marta Kovacs,80,0.46,54.59,
DocDrift,Jamal Reyes,55,0.28,52.79,
ThermalSense,Jia Judge,92.5,0.62,56.23,
ThermalSense,Yuki Tanaka,66.25,-0.94,40.62,
PromptForge,Jia Judge,68.75,-2.33,26.65,
PromptForge,Jamal Reyes,30,-1.51,34.86,
HackMap,Jamal Reyes,45,-0.44,45.62,
HackMap,Sam Okafor,63.75,,,insufficient-data (left raw)
HackMap,Yuki Tanaka,68.75,-0.72,42.79,
LicenseHawk,Yuki Tanaka,68.75,-0.72,42.79,
LicenseHawk,Marta Kovacs,72.5,-0.38,46.21,
LicenseHawk,Jia Judge,81.25,-0.78,42.22,
ArgusAnnotate,Jia Judge,90,0.31,53.11,
ArgusAnnotate,Jamal Reyes,51.25,0.01,50.1,
PaletteOS,Jamal Reyes,70,1.36,63.55,
PaletteOS,Jia Judge,95,0.93,59.34,
GripForce,Marta Kovacs,83.75,0.88,58.78,
GripForce,Jamal Reyes,30,-1.51,34.86,
GripForce,Yuki Tanaka,80,0.26,52.58,
TestGhost,Yuki Tanaka,66.25,-0.94,40.62,
TestGhost,Marta Kovacs,82.5,0.74,57.39,
TestGhost,Jia Judge,92.5,0.62,56.23,
ChordSeeker,Jia Judge,87.5,0,50,
ChordSeeker,Jamal Reyes,63.75,0.91,59.07,
PulseBench,Marta Kovacs,61.25,-1.64,33.64,
PulseBench,Yuki Tanaka,81.25,0.37,53.67,
PulseBench,Jia Judge,90,0.31,53.11,
StandupZERO,Jamal Reyes,60,0.64,56.38,
StandupZERO,Yuki Tanaka,87.5,0.91,59.11,
